Review,Brand,Variety,Style,Country,Stars,Count,Average
2580,New Touch,t's restaurant tantanmen ,Cup,Japan,3.75,352,3.981605113636364
2579,Just Way,noodles spicy hot sesame spicy hot sesame guan-miao noodles,Pack,Taiwan,1,224,3.6654017857142853
2577,Wei Lih,gge ramen snack tomato flavor,Pack,Taiwan,2.75,224,3.6654017857142853
2576,Ching's Secret,singapore curry,Pack,India,3.75,31,3.3951612903225805
2575,Samyang Foods,kimchi song song ramen,Pack,South Korea,4.75,307,3.7905537459283387
2574,Acecook,spice deli tantan men with cilantro,Cup,Japan,4,352,3.981605113636364
2573,Ikeda Shoku,nabeyaki kitsune udon,Tray,Japan,3.75,352,3.981605113636364
2572,Ripe'n'Dry,hokkaido soy sauce ramen,Pack,Japan,0.25,352,3.981605113636364
2571,KOKA,the original spicy stir-fried noodles,Pack,Singapore,2.5,109,4.126146788990826
2570,Tao Kae Noi,creamy tom yum kung flavour,Pack,Thailand,5,191,3.384816753926702
2568,Nongshim,mr. bibim stir-fried kimchi flavor,Pack,South Korea,4.25,307,3.7905537459283387
2567,Nissin,deka buto kimchi pork flavor,Bowl,Japan,4.5,352,3.981605113636364
2566,Nissin,demae ramen bar noodle aka tonkotsu flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2565,KOKA,mushroom flavour instant noodles,Cup,Singapore,3.5,109,4.126146788990826
2564,TRDP,mario masala noodles,Pack,India,3.75,31,3.3951612903225805
2562,Binh Tay,mi hai cua,Pack,Vietnam,4,108,3.187962962962963
2561,Paldo,premium gomtang,Pack,South Korea,4,307,3.7905537459283387
2560,Nissin,cup noodles laksa flavour,Cup,Hong Kong,4.25,137,3.8018248175182485
2558,KOKA,creamy soup with crushed noodles hot & sour fish flavor,Cup,Singapore,5,109,4.126146788990826
2556,Ching's Secret,hot garlic instant noodles,Pack,India,4.25,31,3.3951612903225805
2555,Samyang Foods,song song kimchi big bowl,Bowl,South Korea,4.25,307,3.7905537459283387
2553,Nissin,hakata ramen noodle white tonkotsu,Bowl,Japan,4.75,352,3.981605113636364
2552,MyKuali,penang white curry rice vermicelli soup,Bowl,Malaysia,5,155,4.154193548387097
2551,KOKA,signature tom yum flavor instant noodles,Pack,Singapore,4,109,4.126146788990826
2550,Samyang Foods,paegaejang ramen,Pack,South Korea,5,307,3.7905537459283387
2549,Nissin,gekikara ramen extra hot ramen goreng,Pack,Indonesia,4.5,126,4.067460317460317
2547,Sichuan Guangyou,chongqing spicy hot noodles,Bowl,China,4,169,3.4218934911242602
2546,New Touch,sugo-men kyoto backfat shoyu ramen,Bowl,Japan,3.75,352,3.981605113636364
2545,KOKA,instant noodles laksa singapura flavour,Pack,Singapore,5,109,4.126146788990826
2543,KOKA,curry flavour instant noodles,Cup,Singapore,5,109,4.126146788990826
2542,Acecook,super cup yochan ika yakisoba,Tray,Japan,1.5,352,3.981605113636364
2540,Wei Lih,gge noodle snack wheat crackers mexican spicy,Pack,Taiwan,3.25,224,3.6654017857142853
2539,Nissin,demae iccho tonkotsu flavour instant noodle,Cup,Hong Kong,3.75,137,3.8018248175182485
2537,Nissin,cup noodlestom yam seafood (more shrimptacular),Cup,Singapore,5,109,4.126146788990826
2534,Fujiwara,hokkaido hakodate shoyu ramen,Pack,Japan,4,352,3.981605113636364
2533,Nongshim,shin ramyun black,Pack,South Korea,5,307,3.7905537459283387
2532,Nissin,nippon onomichi ramen,Bowl,Japan,4.75,352,3.981605113636364
2531,Uni-President,pickled cabbage beef,Pack,China,4.25,169,3.4218934911242602
