Review,Brand,Variety,Style,Country,Stars,Count,Average,Count_no
2567,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,234,3.981605113636364,54
2566,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,234,3.8018248175182485,77
2560,Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,234,3.8018248175182485,99
2553,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,234,3.981605113636364,54
2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,234,4.067460317460317,77
2539,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,234,3.8018248175182485,99
2537,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5,234,4.126146788990826,99
2532,Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,234,3.981605113636364,54
2524,Nissin,Straits Reborn Laksa,Pack,Singapore,5,234,4.126146788990826,77
2521,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,234,4.126146788990826,77
2520,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,234,4.126146788990826,99
2471,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5,234,3.8018248175182485,99
2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,234,3.4218934911242602,99
2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,234,4.067460317460317,77
2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,234,3.981605113636364,77
2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,234,3.981605113636364,54
2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,234,3.981605113636364,99
2425,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5,234,3.8018248175182485,99
2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,234,3.4218934911242602,99
2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,234,3.981605113636364,54
2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,234,3.8018248175182485,99
2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4,234,3.8018248175182485,99
2400,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5,234,4.126146788990826,99
2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,234,3.8018248175182485,99
2390,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,234,3.8018248175182485,99
2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,234,3.8018248175182485,54
2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,234,3.8018248175182485,99
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,234,3.384816753926702,99
2373,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5,234,3.3951612903225805,77
2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,234,3.8018248175182485,54
2353,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4,234,3.981605113636364,99
2350,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4,234,3.8018248175182485,99
2347,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3,234,3.8018248175182485,54
2326,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,4,234,3.8018248175182485,99
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4,234,3.981605113636364,99
2316,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,5,234,3.981605113636364,99
