word,n
noodle,843
flavour,558
instant,360
ramen,211
spicy,201
chicken,180
beef,163
cup,139
artificial,132
sauce,125
tom,120
mi,117
rice,117
soup,110
curry,105
seafood,103
pork,95
hot,89
shrimp,86
yum,79
goreng,73
style,68
udon,60
vermicelli,58
sesame,54
bowl,53
penang,53
demae,52
fried,52
rasa,46
ramyun,45
tonkotsu,44
vegetarian,43
black,40
oriental,38
mushroom,37
king,36
sour,35
oil,34
shoyu,34
kimchi,33
soy,33
crab,32
onion,32
vegetable,31
korean,30
laksa,30
yakisoba,30
yam,30
ayam,29
white,29
creamy,28
miso,28
snack,28
kung,27
taste,26
bean,25
original,25
tomato,25
fu,23
kari,23
prawn,23
pepper,22
perisa,22
chilli,21
iccho,21
japanese,21
dried,20
pedas,20
mee,19
base,18
red,18
cheese,17
paste,17
segera,17
stewed,17
super,17
2,16
garlic,16
la,16
shio,16
soto,16
stew,16
supreme,16
dry,15
mie,15
potato,15
south,15
xo,15
buldak,14
chili,14
flavored,14
hao,14
pickled,14
ppushu,14
premium,14
soba,14
version,14
abalone,13
braised,13
chinese,13
kuah,13
minced,13
pancit,13
pho,13
raoh,13
shin,13
special,13
sweet,13
authentic,12
green,12
malaysia,12
masala,12
soybean,12
thai,12
aloe,11
bokkeummyun,11
chef,11
goong,11
jumbo,11
macaroni,11
mian,11
mild,11
minute,11
sichuan,11
singapore,11
spaghetti,11
stir,11
tempura,11
100,10
canton,10
fresh,10
jjamppong,10
kitsune,10
pot,10
shallot,10
spesial,10
wheat,10
asam,9
bbq,9
chow,9
duck,9
mein,9
perencah,9
bawang,8
bihun,8
bone,8
chukazanmai,8
donbei,8
eat,8
fish,8
hokkien,8
mini,8
nagasaki,8
quick,8
rich,8
satay,8
thread,8
veggie,8
wonton,8
asian,7
bibim,7
bo,7
chikin,7
flat,7
flavoured,7
hakka,7
jan,7
jin,7
lobster,7
nam,7
purple,7
ricey,7
scallop,7
shiitake,7
steam,7
basil,6
broad,6
chanpon,6
chay,6
chongqing,6
cold,6
cooking,6
curly,6
dare,6
delight,6
desse,6
dosirac,6
feast,6
ga,6
gold,6
guan,6
habanero,6
hakata,6
han,6
hokkaido,6
improved,6
instan,6
kumamoto,6
lemon,6
mami,6
mayo,6
milk,6
mix,6
moo,6
nupasta,6
sauerkraut,6
seaweed,6
selera,6
signature,6
superior,6
vegetables,6
wei,6
assorted,5
baby,5
barbecue,5
baso,5
broth,5
cabbage,5
crackers,5
cua,5
egg,5
gge,5
grilled,5
house,5
indonesia,5
jjampong,5
kingcook,5
kitchen,5
kitty,5
lau,5
mã,5
mmm,5
mustard,5
neoguri,5
oat,5
pad,5
ribs,5
roast,5
roasted,5
sambal,5
sate,5
seimen,5
series,5
singapura,5
sk,5
song,5
star,5
thin,5
yi,5
ala,4
anchovy,4
asli,4
atta,4
batchoy,4
beans,4
bokki,4
brand,4
bulalo,4
champong,4
cheezy,4
chef's,4
chu,4
chua,4
crushed,4
crystal,4
cuties,4
ð,4
daily,4
dan,4
ding,4
disney,4
edition,4
express,4
extra,4
eyed,4
eyes,4
guanmiao,4
hai,4
hearty,4
hong,4
hu,4
jinjja,4
juzz's,4
kko,4
kokomen,4
kua,4
local,4
ly,4
mien,4
myon,4
myun,4
namja,4
oolongmen,4
otentiq,4
oyster,4
pasta,4
paz,4
peptide,4
porridge,4
prince,4
qian,4
quy,4
rangers,4
salt,4
samyang,4
serve,4
spices,4
tachia,4
tan,4
teriyaki,4
thailand,4
tok,4
tokusen,4
tu,4
vera,4
xtra,4
yomise,4
yu,4
3,3
ãƒ,3
baked,3
bamboo,3
beijing,3
bolognese,3
buckwheat,3
bul,3
cabe,3
cay,3
chajang,3
chan,3
chand,3
charumera,3
clam,3
coconut,3
corn,3
cream,3
dashi,3
donburi,3
dong,3
fan,3
fry,3
gepeng,3
gia,3
ginger,3
gomtang,3
gotsumori,3
grains,3
gulai,3
hakodate,3
hiyashi,3
ho,3
hwa,3
hyoubanya,3
ippei,3
ippeichan,3
isi,3
jah,3
ji,3
jjajang,3
karashi,3
katsuo,3
koku,3
koreno,3
koya,3
kriuuk,3
kuroma,3
kyushu,3
light,3
manao,3
mandarin,3
mayonnaise,3
meat,3
mexican,3
mohfai,3
monster,3
nabeyaki,3
negi,3
noukou,3
organic,3
pack,3
penh,3
phnom,3
phu,3
pizza,3
prototype,3
radish,3
ramyon,3
recipe,3
rendang,3
rumpum,3
saab,3
sanukiya,3
sapi,3
sayuran,3
seasoning,3
sedaaap,3
seribu,3
shoot,3
sllrrrp,3
snek,3
sotanghon,3
spice,3
spinach,3
steamed,3
stick,3
tainan,3
taiwan,3
tantanmen,3
tanuki,3
tofu,3
tokyo,3
topokki,3
tvp,3
vang,3
veg,3
vegan,3
wine,3
yaki,3
yentafo,3
zabb,3
